date,tab_name,Model,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,completion_tokens_per_sec,total_tokens_per_sec
2026-05-04 17:39:25,LMStudio+TokenTest,openai/phi-4-mini-instruct,31,246,277,11.37,21.63,24.36
2026-05-04 17:47:31,LangChain+LMStudio,openai/phi-4-mini-instruct,1652,1543,3195,74.51,20.71,42.88
2026-05-04 18:00:36,LangGraph,openai/phi-4-mini-instruct,1927,2354,4281,118.14,19.92,36.24
2026-05-05 15:59:52,CrewAI+Ollama,ollama/hf.co/unsloth/Llama-3.2-3B-Instruct-GGUF:UD-Q4_K_XL,7965,8445,16410,117.83,71.67,139.27
2026-05-05 16:05:38,CrewAI+Ollama,ollama/hf.co/unsloth/Llama-3.2-3B-Instruct-GGUF:UD-Q4_K_XL,9003,6438,15441,87.82,73.31,175.83
2026-05-05 16:31:51,RAG+LangChain+Ollama,ollama/hf.co/unsloth/Llama-3.2-3B-Instruct-GGUF:UD-Q4_K_XL,2757,1885,4642,91.13,20.69,50.94
2026-05-05 16:42:40,Groq+Tavily+LiteLLM,{'groq/llama-3.3-70b-versatile'},2533,2505,5038,6.54,383.29,770.87
2026-05-05 16:47:26,CrewAI+Test+Token+Ollama,ollama/gemma4:e2b,85,897,982,72.2,12.42,13.6
2026-05-05 17:11:35,LangChain+LMStudio,openai/qwen3.5-2b,5903,9100,15003,306.79,29.66,48.9
2026-05-05 17:14:33,LMStudio+TokenTest,openai/phi-4-mini-instruct,27,404,431,16.82,24.01,25.62
2026-05-06 12:11:34,LMStudio+TokenTest,openai/phi-4-mini-instruct,27,346,373,16.0,21.62,23.31
2026-05-06 12:12:19,LMStudio+TokenTest,openai/phi-4-mini-instruct,27,337,364,14.83,22.73,24.55
2026-05-06 12:15:31,LangChain+LMStudio,openai/phi-4-mini-instruct,1641,1649,3290,131.4,12.55,25.04
